offshore_f,2
offshore_g,2
onshore,1
onshore_V110,1
pv_g,0.5
pv_g_ns,0.5
pv_c,0.5
river,1
lake,1
nuc,10
ocgt,1
ccgt,2
phs,4
electrolysis,2
hydrogen,3
h2_ccgt,2
biogas1,1
biogas2,1
battery1,0.5
battery4,0.5
methane,0
methanation,1
pyrogazification,1
